signatures (1 letter),length,counts,,
,0,3908594,3908594,0.593312976
.,1,6944,2258934,0.342899481
C,1,1318688,323899,0.049166908
L,1,413018,85271,0.012943885
T,1,520098,6723,0.001020531
l,1,1,4323,0.000656219
t,1,185,6587744,
..,2,29,,
.c,2,286,,
.l,2,99,,
.t,2,396,,
C.,2,447,,
Cc,2,68360,,
Cl,2,22544,,
Ct,2,93382,,
L.,2,130,,
Lc,2,31607,,
Ll,2,5076,,
Lt,2,36432,,
T.,2,84,,
Tc,2,23303,,
Tl,2,8529,,
Tt,2,33195,,
..C,3,1,,
..T,3,2,,
.cC,3,49,,
.cL,3,17,,
.cT,3,30,,
.lC,3,14,,
.lL,3,2,,
.lT,3,7,,
.t.,3,2,,
.tC,3,47,,
.tL,3,5,,
.tT,3,37,,
C..,3,1,,
C.C,3,90,,
C.L,3,9,,
C.T,3,22,,
Cc.,3,65,,
CcC,3,14046,,
CcL,3,2615,,
CcT,3,4858,,
Cl.,3,9,,
ClC,3,4494,,
ClL,3,279,,
ClT,3,753,,
Ct.,3,71,,
CtC,3,18972,,
CtL,3,2938,,
CtT,3,4964,,
L.C,3,9,,
L.L,3,6,,
L.T,3,10,,
Lc.,3,10,,
LcC,3,2500,,
LcL,3,1039,,
LcT,3,1296,,
Ll.,3,4,,
LlC,3,554,,
LlL,3,192,,
LlT,3,340,,
Lt.,3,18,,
LtC,3,1481,,
LtL,3,2349,,
LtT,3,1526,,
T.C,3,11,,
T.T,3,20,,
Tc.,3,23,,
TcC,3,2140,,
TcL,3,470,,
TcT,3,4815,,
Tl.,3,9,,
TlC,3,538,,
TlL,3,48,,
TlT,3,2206,,
Tt.,3,39,,
TtC,3,1406,,
TtL,3,964,,
TtT,3,6849,,
.cC.,4,1,,
.cCc,4,1,,
.cCt,4,2,,
.cLc,4,1,,
.cTc,4,3,,
.tC.,4,1,,
.tCt,4,2,,
.tT.,4,2,,
.tTc,4,2,,
.tTt,4,3,,
C.Cc,4,2,,
C.Ct,4,1,,
C.Lc,4,2,,
Cc..,4,4,,
Cc.c,4,9,,
Cc.t,4,1,,
CcC.,4,181,,
CcCc,4,784,,
CcCl,4,31,,
CcCt,4,230,,
CcL.,4,61,,
CcLc,4,233,,
CcLl,4,4,,
CcLt,4,29,,
CcT.,4,112,,
CcTc,4,561,,
CcTl,4,8,,
CcTt,4,175,,
Cl.t,4,1,,
ClC.,4,22,,
ClCc,4,23,,
ClCl,4,39,,
ClCt,4,32,,
ClLc,4,5,,
ClLl,4,2,,
ClLt,4,4,,
ClT.,4,8,,
ClTc,4,8,,
ClTl,4,24,,
ClTt,4,4,,
Ct..,4,5,,
Ct.c,4,4,,
Ct.t,4,9,,
CtC.,4,87,,
CtCc,4,115,,
CtCl,4,33,,
CtCt,4,453,,
CtL.,4,36,,
CtLc,4,19,,
CtLl,4,2,,
CtLt,4,269,,
CtT.,4,47,,
CtTc,4,43,,
CtTl,4,11,,
CtTt,4,199,,
Lc.c,4,5,,
Lc.t,4,1,,
LcC.,4,17,,
LcCc,4,43,,
LcCl,4,2,,
LcCt,4,61,,
LcL.,4,25,,
LcLc,4,135,,
LcLl,4,2,,
LcLt,4,11,,
LcT.,4,34,,
LcTc,4,171,,
LcTl,4,5,,
LcTt,4,14,,
LlC.,4,1,,
LlCc,4,6,,
LlCl,4,2,,
LlCt,4,3,,
LlLl,4,3,,
LlLt,4,1,,
LlT.,4,1,,
LlTc,4,1,,
LlTl,4,2,,
LlTt,4,2,,
Lt..,4,2,,
Lt.t,4,1,,
LtC.,4,5,,
LtCc,4,15,,
LtCl,4,2,,
LtCt,4,17,,
LtL.,4,24,,
LtLc,4,10,,
LtLl,4,2,,
LtLt,4,169,,
LtT.,4,22,,
LtTc,4,11,,
LtTl,4,2,,
LtTt,4,82,,
T.Tt,4,1,,
Tc..,4,7,,
Tc.c,4,10,,
Tc.t,4,4,,
TcC.,4,11,,
TcCc,4,39,,
TcCl,4,4,,
TcCt,4,25,,
TcL.,4,4,,
TcLc,4,19,,
TcLl,4,1,,
TcLt,4,13,,
TcT.,4,99,,
TcTc,4,392,,
TcTl,4,4,,
TcTt,4,211,,
TlC.,4,2,,
TlCc,4,3,,
TlCl,4,2,,
TlCt,4,6,,
TlL.,4,1,,
TlT.,4,6,,
TlTc,4,24,,
TlTl,4,3,,
TlTt,4,11,,
Tt..,4,2,,
Tt.c,4,3,,
Tt.l,4,1,,
Tt.t,4,9,,
TtC.,4,7,,
TtCc,4,12,,
TtCl,4,5,,
TtCt,4,25,,
TtL.,4,17,,
TtLc,4,10,,
TtLl,4,1,,
TtLt,4,92,,
TtT.,4,105,,
TtTc,4,136,,
TtTl,4,38,,
TtTt,4,496,,
.cC.C,5,1,,
.cCcC,5,2,,
.cCcT,5,1,,
.cT.L,5,1,,
.cTcL,5,1,,
.cTtL,5,3,,
.lCtC,5,1,,
.lLlL,5,1,,
.lTl.,5,1,,
.tCtC,5,1,,
C.C.C,5,1,,
C.CcC,5,2,,
C.ClC,5,1,,
C.TlT,5,1,,
Cc..C,5,2,,
Cc..T,5,3,,
Cc.cC,5,3,,
Cc.cL,5,1,,
Cc.cT,5,3,,
Cc.lC,5,1,,
Cc.t.,5,1,,
CcC..,5,26,,
CcC.C,5,136,,
CcC.L,5,15,,
CcC.T,5,29,,
CcCc.,5,118,,
CcCcC,5,907,,
CcCcL,5,83,,
CcCcT,5,218,,
CcCl.,5,4,,
CcClC,5,49,,
CcClL,5,3,,
CcClT,5,6,,
CcClt,5,1,,
CcCt.,5,11,,
CcCtC,5,71,,
CcCtL,5,7,,
CcCtT,5,25,,
CcL..,5,4,,
CcL.C,5,1,,
CcL.L,5,5,,
CcL.T,5,2,,
CcLc.,5,4,,
CcLcC,5,14,,
CcLcL,5,19,,
CcLcT,5,12,,
CcLlL,5,1,,
CcLt.,5,3,,
CcLtC,5,5,,
CcLtL,5,5,,
CcLtT,5,3,,
CcT..,5,3,,
CcT.C,5,5,,
CcT.L,5,3,,
CcT.T,5,28,,
CcTc.,5,21,,
CcTcC,5,33,,
CcTcL,5,43,,
CcTcT,5,162,,
CcTl.,5,1,,
CcTlT,5,8,,
CcTt.,5,5,,
CcTtC,5,11,,
CcTtL,5,4,,
CcTtT,5,51,,
ClC..,5,3,,
ClC.C,5,20,,
ClC.L,5,1,,
ClCc.,5,4,,
ClCcC,5,50,,
ClCcL,5,5,,
ClCcT,5,5,,
ClCl.,5,5,,
ClClC,5,51,,
ClClL,5,6,,
ClClT,5,1,,
ClCt.,5,7,,
ClCtC,5,67,,
ClCtL,5,4,,
ClCtT,5,3,,
ClLcC,5,2,,
ClLlL,5,4,,
ClLtL,5,1,,
ClT.C,5,1,,
ClT.T,5,4,,
ClTcT,5,3,,
ClTl.,5,2,,
ClTlL,5,1,,
ClTlT,5,17,,
ClTtC,5,1,,
Ct.tL,5,1,,
Ct.tT,5,3,,
CtC..,5,6,,
CtC.C,5,42,,
CtC.L,5,6,,
CtC.T,5,10,,
CtCc.,5,8,,
CtCcC,5,46,,
CtCcL,5,9,,
CtCcT,5,11,,
CtCl.,5,2,,
CtClC,5,4,,
CtClT,5,24,,
CtCt.,5,40,,
CtCtC,5,278,,
CtCtL,5,9,,
CtCtT,5,14,,
CtL..,5,1,,
CtL.L,5,2,,
CtL.T,5,5,,
CtLcC,5,6,,
CtLcL,5,1,,
CtLcT,5,4,,
CtLtC,5,6,,
CtLtL,5,8,,
CtLtT,5,35,,
CtT..,5,1,,
CtT.C,5,1,,
CtT.T,5,13,,
CtTcC,5,19,,
CtTcL,5,6,,
CtTcT,5,10,,
CtTlC,5,1,,
CtTlT,5,6,,
CtTt.,5,6,,
CtTtC,5,33,,
CtTtL,5,6,,
CtTtT,5,104,,
L.TcT,5,1,,
Lc.tC,5,1,,
LcC..,5,1,,
LcC.C,5,7,,
LcC.L,5,1,,
LcC.T,5,1,,
LcCc.,5,8,,
LcCcC,5,50,,
LcCcL,5,4,,
LcCcT,5,8,,
LcClC,5,2,,
LcClT,5,1,,
LcCt.,5,1,,
LcCtC,5,8,,
LcCtT,5,4,,
LcL..,5,1,,
LcL.C,5,2,,
LcL.L,5,2,,
LcLc.,5,1,,
LcLcC,5,4,,
LcLcL,5,11,,
LcLlC,5,2,,
LcLt.,5,2,,
LcLtC,5,1,,
LcLtT,5,1,,
LcT.C,5,1,,
LcT.T,5,12,,
LcTc.,5,3,,
LcTcC,5,11,,
LcTcT,5,34,,
LcTt.,5,3,,
LcTtC,5,3,,
LcTtL,5,2,,
LcTtT,5,30,,
LlC.C,5,2,,
LlC.L,5,1,,
LlCc.,5,8,,
LlCcC,5,23,,
LlCcL,5,3,,
LlCcT,5,2,,
LlClC,5,1,,
LlCtC,5,1,,
LlLcL,5,1,,
LlTcT,5,1,,
LlTlT,5,2,,
Lt.tT,5,1,,
LtC.C,5,5,,
LtC.L,5,1,,
LtC.T,5,1,,
LtCc.,5,2,,
LtCcC,5,6,,
LtCcL,5,1,,
LtClC,5,1,,
LtClT,5,1,,
LtCt.,5,4,,
LtCtC,5,24,,
LtCtL,5,3,,
LtCtT,5,5,,
LtL..,5,1,,
LtL.C,5,2,,
LtL.L,5,4,,
LtL.T,5,1,,
LtLcC,5,1,,
LtLcL,5,1,,
LtLlC,5,1,,
LtLt.,5,5,,
LtLtC,5,3,,
LtLtL,5,38,,
LtLtT,5,5,,
LtTcC,5,3,,
LtTcL,5,2,,
LtTcT,5,1,,
LtTlC,5,1,,
LtTlT,5,2,,
LtTtC,5,1,,
LtTtL,5,1,,
LtTtT,5,9,,
T.CcC,5,1,,
Tc..C,5,1,,
Tc..T,5,1,,
Tc.lL,5,1,,
TcC..,5,3,,
TcC.C,5,14,,
TcC.L,5,1,,
TcC.T,5,1,,
TcCc.,5,11,,
TcCcC,5,118,,
TcCcL,5,7,,
TcCcT,5,10,,
TcClC,5,3,,
TcClL,5,1,,
TcCt.,5,2,,
TcCtC,5,16,,
TcCtL,5,1,,
TcCtT,5,4,,
TcL.T,5,2,,
TcLcC,5,1,,
TcLcL,5,3,,
TcLcT,5,5,,
TcLtC,5,1,,
TcLtL,5,2,,
TcLtT,5,1,,
TcT..,5,2,,
TcT.C,5,4,,
TcT.T,5,26,,
TcTc.,5,6,,
TcTcC,5,22,,
TcTcL,5,6,,
TcTcT,5,58,,
TcTl.,5,1,,
TcTlT,5,20,,
TcTt.,5,4,,
TcTtC,5,4,,
TcTtL,5,2,,
TcTtT,5,71,,
TlCc.,5,2,,
TlCcC,5,2,,
TlCcL,5,1,,
TlCcT,5,1,,
TlClC,5,1,,
TlClL,5,1,,
TlClT,5,2,,
TlCtC,5,4,,
TlLcL,5,1,,
TlLtT,5,1,,
TlTcC,5,4,,
TlTcT,5,2,,
TlTtC,5,1,,
Tt.tT,5,1,,
TtC.C,5,5,,
TtC.T,5,1,,
TtCcC,5,8,,
TtCcL,5,1,,
TtCcT,5,1,,
TtCl.,5,1,,
TtClT,5,1,,
TtCt.,5,2,,
TtCtC,5,19,,
TtCtL,5,1,,
TtCtT,5,1,,
TtL.L,5,1,,
TtL.T,5,1,,
TtLcT,5,1,,
TtLt.,5,1,,
TtLtC,5,3,,
TtLtT,5,1,,
TtT..,5,1,,
TtT.C,5,3,,
TtT.T,5,26,,
TtTc.,5,2,,
TtTcC,5,11,,
TtTcL,5,2,,
