signatures (1 letter),length,counts
,0,4542482
.,1,7355
..,2,53
..C,3,5
..L,3,2
..T,3,2
.c,2,329
.c.,3,1
.cC,3,52
.cC.,4,2
.cC.T,5,1
.cCc,4,1
.cCcC,5,2
.cCcL,5,1
.cCl,4,2
.cClL,5,1
.cCtC,5,1
.cL,3,37
.cL.C,5,1
.cL.L,5,1
.cLc,4,3
.cLc.,5,1
.cLcC,5,1
.cLcL,5,3
.cLl,4,3
.cLlL,5,1
.cLt,4,1
.cLtL,5,1
.cT,3,3
.cTc,4,1
.l,2,1116
.l.,3,6
.l..,4,1
.lC,3,148
.lC.,4,1
.lC.C,5,2
.lCl,4,8
.lClC,5,11
.lCtL,5,1
.lL,3,84
.lL.,4,4
.lL.L,5,1
.lLl,4,9
.lLlL,5,2
.lLtL,5,1
.lT,3,27
.lT.,4,1
.lTl,4,3
.lTlL,5,1
.t,2,131
.tC,3,35
.tClL,5,1
.tL,3,58
.tL.,4,1
.tT,3,11
C,1,1467123
C.,2,744
C..,3,1
C.C,3,98
C.C.,4,2
C.Cc,4,2
C.CcC,5,1
C.Cl,4,4
C.ClL,5,2
C.L,3,71
C.L.,4,1
C.L.C,5,1
C.L.L,5,1
C.Lc,4,2
C.LcL,5,1
C.Ll,4,5
C.Ll.,5,1
C.LlC,5,3
C.LlL,5,1
C.T,3,14
C.Tc,4,1
C.TcT,5,1
C.Tl,4,2
Cc,2,91023
Cc.,3,65
Cc..,4,1
Cc...,5,1
Cc..C,5,3
Cc.c,4,9
Cc.cC,5,5
Cc.cT,5,2
Cc.l,4,6
Cc.l.,5,1
Cc.lC,5,1
Cc.t,4,1
Cc.tC,5,1
CcC,3,17266
CcC.,4,236
CcC..,5,19
CcC.C,5,137
CcC.L,5,51
CcC.T,5,9
CcCc,4,719
CcCc.,5,82
CcCcC,5,587
CcCcL,5,278
CcCcT,5,17
CcCl,4,466
CcCl.,5,26
CcClC,5,259
CcClL,5,61
CcClT,5,12
CcCt,4,39
CcCt.,5,10
CcCtC,5,60
CcCtL,5,32
CcCtT,5,6
CcL,3,9664
CcL.,4,193
CcL..,5,10
CcL.C,5,30
CcL.L,5,80
CcL.T,5,2
CcLc,4,774
CcLc.,5,35
CcLcC,5,59
CcLcL,5,266
CcLcT,5,9
CcLl,4,257
CcLl.,5,15
CcLlC,5,43
CcLlL,5,126
CcLlT,5,6
CcLt,4,139
CcLt.,5,25
CcLtC,5,47
CcLtL,5,207
CcT,3,1054
CcT.,4,52
CcT.C,5,5
CcT.L,5,4
CcT.T,5,5
CcTc,4,179
CcTc.,5,6
CcTcC,5,10
CcTcL,5,20
CcTcT,5,46
CcTl,4,105
CcTlC,5,8
CcTlL,5,7
CcTlT,5,2
CcTt,4,18
CcTt.,5,1
CcTtL,5,1
CcTtT,5,2
Cl,2,181563
Cl.,3,150
Cl..,4,13
Cl..C,5,2
Cl.c,4,2
Cl.l,4,53
Cl.lC,5,6
Cl.lL,5,3
Cl.lT,5,1
Cl.t,4,5
ClC,3,34793
ClC.,4,595
ClC..,5,37
ClC.C,5,392
ClC.L,5,56
ClC.T,5,27
ClCc,4,396
ClCc.,5,29
ClCcC,5,200
ClCcL,5,82
