,proportion
C,0.5667430738987311
L,0.22614063256379488
T,0.008180646673375402
Cc,0.03836327293504834
Cl,0.06983141253495444
Ct,0.0001816785445896955
Lc,0.011428838834221473
Ll,0.01973807616578049
Lt,8.100818221964779e-05
Tc,0.001437698612597244
Tl,0.00034290842182297505
Tt,0.0006850303564399342
CcC,0.010768189581168035
CcL,0.005681583576259568
CcT,2.123515456243194e-05
ClC,0.015805246892097495
ClL,0.00727697287366302
ClT,3.8931116697791896e-05
CtC,3.932436030079989e-05
CtL,5.898654045119983e-06
CtT,4.7189232360959865e-06
LcC,0.0011439456411502689
LcL,0.0016575217866787156
LcT,2.7527052210559924e-06
LlC,0.0015906703741673557
LlL,0.005973763573294511
LlT,8.258115663167977e-06
LtC,3.145948824063991e-06
LtL,3.5391924270719903e-06
LtT,3.932436030079989e-07
TcC,3.145948824063991e-05
TcL,2.202164176844794e-05
TcT,3.932436030079989e-07
TlC,3.57851678737279e-05
TlL,9.791765714899174e-05
TlT,4.325679633087988e-06
TtC,7.864872060159978e-06
TtL,3.5391924270719903e-06
TtT,2.3594616180479932e-06
CcCc,0.00045930852831334274
CcCl,0.0002481367134980473
CcCt,1.9662180150399945e-06
CcLc,0.0003547057299132151
CcLl,0.00013409606862572763
CcLt,3.263921904966391e-05
CcTc,1.5729744120319956e-06
CcTl,7.864872060159978e-07
CcTt,7.864872060159978e-07
ClCc,0.00013448931222873563
ClCl,0.0012261335541789407
ClCt,1.5729744120319956e-06
ClLc,6.213248927526383e-05
ClLl,0.0005230139920006385
ClLt,7.864872060159978e-07
ClTc,0.0
ClTl,1.1797308090239966e-06
ClTt,3.932436030079989e-07
CtCc,1.1797308090239966e-06
CtCl,1.9662180150399945e-06
CtCt,0.0
CtLc,0.0
CtLl,3.932436030079989e-07
CtLt,3.932436030079989e-07
CtTc,0.0
CtTl,0.0
CtTt,0.0
LcCc,8.140142582265578e-05
LcCl,2.7133808607551925e-05
LcCt,7.864872060159978e-07
LcLc,4.836896316998387e-05
LcLl,4.836896316998387e-05
LcLt,7.864872060159978e-07
LcTc,3.932436030079989e-07
LcTl,0.0
LcTt,0.0
LlCc,1.4156769708287961e-05
LlCl,0.00010420955479711971
LlCt,0.0
LlLc,2.477434698950393e-05
LlLl,0.0004365003993388788
LlLt,3.932436030079989e-07
LlTc,0.0
LlTl,3.932436030079989e-07
LlTt,3.932436030079989e-07
LtCc,7.864872060159978e-07
LtCl,3.932436030079989e-07
LtCt,0.0
LtLc,0.0
LtLl,0.0
LtLt,0.0
LtTc,0.0
LtTl,0.0
LtTt,0.0
TcCc,1.1797308090239966e-06
TcCl,1.1797308090239966e-06
TcCt,0.0
TcLc,3.145948824063991e-06
TcLl,7.864872060159978e-07
TcLt,0.0
TcTc,0.0
TcTl,0.0
TcTt,0.0
TlCc,3.932436030079989e-07
TlCl,2.7527052210559924e-06
TlCt,0.0
TlLc,7.864872060159978e-07
TlLl,2.3594616180479932e-06
TlLt,0.0
TlTc,0.0
TlTl,0.0
TlTt,0.0
TtCc,3.932436030079989e-07
TtCl,3.932436030079989e-07
TtCt,0.0
TtLc,0.0
TtLl,3.932436030079989e-07
TtLt,0.0
TtTc,0.0
TtTl,0.0
TtTt,0.0
